nationality,year,month,arrivals,annual_nationality_total,ad_year,month_num,date,monthly_share_pct
South Korea,2020,Jul,0.0,6944.0,2020.0,7.0,2020-07-01,0.0
China,2020,Jul,0.0,19257.0,2020.0,7.0,2020-07-01,0.0
Bangladesh,2020,Aug,1.0,4917.0,2020.0,8.0,2020-08-01,0.4098360655737705
Malaysia,2020,Aug,0.0,3460.0,2020.0,8.0,2020-08-01,0.0
Germany,2020,Aug,10.0,5896.0,2020.0,8.0,2020-08-01,4.098360655737705
Sri Lanka,2020,Aug,1.0,13328.0,2020.0,8.0,2020-08-01,0.4098360655737705
Spain,2020,Aug,1.0,1625.0,2020.0,8.0,2020-08-01,0.4098360655737705
South Korea,2020,Aug,0.0,6944.0,2020.0,8.0,2020-08-01,0.0
Italy,2020,Aug,0.0,1599.0,2020.0,8.0,2020-08-01,0.0
Netherlands,2020,Aug,0.0,2563.0,2020.0,8.0,2020-08-01,0.0
China,2020,Aug,1.0,19257.0,2020.0,8.0,2020-08-01,0.4098360655737705
Australia,2020,Aug,11.0,6793.0,2020.0,8.0,2020-08-01,4.508196721311475
UK,2020,Aug,42.0,11762.0,2020.0,8.0,2020-08-01,17.21311475409836
France,2020,Aug,20.0,4540.0,2020.0,8.0,2020-08-01,8.19672131147541
Canada,2020,Aug,10.0,3102.0,2020.0,8.0,2020-08-01,4.098360655737705
Japan,2020,Aug,2.0,5599.0,2020.0,8.0,2020-08-01,0.819672131147541
Thailand,2020,Aug,0.0,20778.0,2020.0,8.0,2020-08-01,0.0
USA,2020,Aug,56.0,17767.0,2020.0,8.0,2020-08-01,22.950819672131146
Others,2020,Aug,89.0,38908.0,2020.0,8.0,2020-08-01,36.47540983606557
Myanmar,2020,Aug,0.0,20911.0,2020.0,8.0,2020-08-01,0.0
Sri Lanka,2020,Sep,1.0,13328.0,2020.0,9.0,2020-09-01,0.1841620626151013
France,2020,Sep,18.0,4540.0,2020.0,9.0,2020-09-01,3.314917127071823
Australia,2020,Sep,11.0,6793.0,2020.0,9.0,2020-09-01,2.0257826887661143
Bangladesh,2020,Sep,8.0,4917.0,2020.0,9.0,2020-09-01,1.4732965009208103
Netherlands,2020,Sep,4.0,2563.0,2020.0,9.0,2020-09-01,0.7366482504604052
Malaysia,2020,Sep,1.0,3460.0,2020.0,9.0,2020-09-01,0.1841620626151013
Germany,2020,Sep,9.0,5896.0,2020.0,9.0,2020-09-01,1.6574585635359116
